"key"	"value"
"Decision"	"HOLD_OR_NO_GO_DECODER_CLAIM_IMPLEMENTATION_REVIEWED"
"Classification"	"DECLARED_REAL_GFAS_ERA5_ROUTE_WITHOUT_DIRECT_DECODER_CALL_AND_MISSING_2023_2024_BRANCH"
"AllZero2023AcrossReviewedTables"	"True"
"AllZero2024AcrossReviewedTables"	"True"
"Route2023MissingOrExtrapolated"	"True"
"Route2024MissingOrExtrapolated"	"True"
"HasDeclarativeRealRoute"	"True"
"HasDirectDecoderToken"	"False"
"HasBlockingTokens"	"True"
"HasPrimaryParquetBranch"	"True"
"HasGfasMethodToken"	"True"
