"Item","WhyNotUse","AllowedUse","ReplacementCanonical","RiskIfUsed"
"run_pipeline_debug_v5.py","Runner debug legacy no canónico","Solo histórico/forense","moduleC_pipeline_v2.py via RUN_ModuleC_Pipeline_OSGeo4W.cmd","Mezcla de rutas y falsos resultados"
"__PIPELINE_MANIFEST.csv","Manifest histórico desalineado","Referencia documental","B3_2_runtime_manifest_fresh.csv (CONTROL_ROOT)","Decisiones runtime con verdad obsoleta"
"__PIPELINE_TOKEN_SCAN.csv","Token scan histórico","Referencia documental","B3_2_runtime_token_scan_fresh.csv (CONTROL_ROOT)","Falsos positivos/negativos de contaminación"
"03_outputs__BACKUP_20260121_235500","Backup histórico, no baseline","Restauración selectiva con gate","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs","Retroceso de baseline y conflicto de hashes"
"deliverables_step9 (backup)","Entregable histórico no runtime actual","Forense","deliverables_step9 generado en runtime vigente","Falso cierre"
"_qa_catalogs\moduleC_local_pipeline\03_outputs","Salida auxiliar interna","Evidencia interna","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs","Outputs finales en ruta incorrecta"
"Module C\Datos\03_outputs","Ruta deprecated/prohibida","Ninguno","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs","Contaminación de datos masivos"
"__links_nospace\03_outputs","Alias no canónico","Referencia técnica puntual","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505\Complementariedad de analisis\Module C\03_outputs","Ejecución en alias ambiguo"
"Complementariedad de analisi_sin base de datos","Histórico alterno, no fuente activa","Comparación histórica","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505","Mezcla de fuentes"
"Rutas fuera de ISO root (excepto OSGeo4W)","Legacy externo","Ninguno en runtime","D:\Mestrado\GATA_2025_2026\Prueba_aislada\ISO_GATA_20260121_130505","Lectura/escritura fuera de canon"
