component	file	function_or_block	line_or_search_anchor	current_behavior	expected_behavior	risk	evidence
canonical_runtime_launcher	pipeline/RUN_ModuleC_Pipeline_OSGeo4W.cmd	MODE_PIPE + MODE_QA	exit path for preflight/pipeline/qa/scientific	Runtime has canonical guard and executes pipeline+qa+scientific gates	Keep route trace + scientific split explicit in runtime closure	Operational pass can be confused as scientific pass without explicit split	launcher read directly
selector_priority	pipeline/smoke_route_selector.py	select_smoke_route	route_priority list and route_selected decision	Selector applies v1 -> v0_gfas_era5_real -> BLOCKED_DECODER_REQUIRED -> degraded proxy	Maintain same priority and forbid proxy as scientific closure	Regression to proxy-first behavior would reopen Falla 3	smoke_route_selector.py lines 8-227
inputs_traceability	pipeline/moduleC_preflight.py ensure_inputs_json + pipeline/moduleC_pipeline_v2.py main	apply_route_meta + inputs_resolved write	meta and paths include GFAS/ERA5 trace and blocked/degraded fields	Keep GFAS/ERA5 trace always materialized in inputs_resolved.json	Loss of traceability would block causal audit	moduleC_preflight.py lines 173-186 and moduleC_pipeline_v2.py main
decoder_root_cause	pipeline/moduleC_pipeline_v2.py	smoke_prepare v0_gfas_era5_real branch	Previously failed with \"decoder not implemented\" on real route	Connect GDAL-only decoder and use real-route outputs when probe passes	Without decoder, runtime falls back to degraded proxy and smoke remains homogeneous	moduleC_pipeline_v2.py smoke_prepare + decode_gfas_era5_gdal_proxy
gfas_decoder	pipeline/moduleC_pipeline_v2.py	decode_gfas_era5_gdal_proxy	extract first message by next-GRIB boundary + GDAL translate with negative-lon crop	Generate PM2P5FIRE inventories, XYZ and daily summaries; classify warnings	Unclassified warnings or failed extraction must keep BLOCKED state	moduleC_pipeline_v2.py new decoder block
era5_decoder	pipeline/moduleC_pipeline_v2.py	decode_gfas_era5_gdal_proxy	ERA5 validated with GDAL info + band1/2 XYZ (10U/10V)	Keep ERA5 trace and inventory in QA artifacts	Missing 10U/10V evidence invalidates v0_gfas_era5_real claim	moduleC_pipeline_v2.py new decoder block
smoke_outputs_unit	pipeline/moduleC_pipeline_v2.py	smoke_prepare	writes smoke_days_unit_2015_2024.csv and alias smoke_days_nuts3_annual_2015_2024.csv	When v0 real is active, values must come from GFAS decoder payload	Route may still be spatially homogeneous and must stay scientifically blocked	moduleC_pipeline_v2.py smoke_prepare
smoke_day_score_daily	pipeline/moduleC_pipeline_v2.py	smoke_prepare + decoder payload	write smoke_day_score_nuts3_daily.csv from decoded daily scores	Maintain daily proxy artifact and route label for diagnostics	Daily artifact missing weakens route reproducibility	moduleC_pipeline_v2.py smoke_prepare and decode_gfas_era5_gdal_proxy
smoke_route_audits	pipeline/moduleC_pipeline_v2.py	write_smoke_route_audit + smoke_route_v0_audit.tsv	route-level audits include status/decision and v0 backend metadata	Keep explicit PROXY/HEALTH blocks even when decoder path is active	Mislabelled route can overstate scientific validity	moduleC_pipeline_v2.py audit writers
iech_generation	pipeline/moduleC_pipeline_v2.py	iech_compute	IECH formula can collapse to smoke_hours_equiv under full-pop exposure	Maintain BLOCKED_POPULATION_EXPOSURE_CLAIM when cancellation occurs	False differentiated health claim risk	moduleC_pipeline_v2.py lines around iech_compute + scientific gate
causal_matrix_propagation	pipeline/RUN_QGIS/STEP7_MATRIZ_CAUSAL/step7_matriz_causal.py	build_causal_matrix	smoke_route_blocked is propagated to missing_components and threshold statuses	Keep causal matrix blocked while smoke/IECH claims are blocked	Downstream matrix cannot close independently from blocked smoke route	step7_matriz_causal.py lines 1339-1355 and 2150-2184
brief_gate	pipeline/RUN_QGIS/STEP7_MATRIZ_CAUSAL/step7_matriz_causal.py + pipeline/scientific_threshold_gate.py	generate_brief + audit_brief_claims	Brief includes route declaration and scientific gate audits forbidden phrases	Maintain brief claim blocking while smoke/IECH constraints remain active	Policy overclaim risk if blocked phrases slip through	step7 + scientific_threshold_gate
warning_gate	pipeline/scientific_threshold_gate.py	evaluate_warning_inventory + WARN-001	checks warning_inventory.tsv and blocks unexplained warnings	No GO scientific claim with unexplained runtime warnings	Unclassified GDAL warnings invalidate clean closure	scientific_threshold_gate.py WARN-001
final_packaging	pipeline/RUN_QGIS/STEP9_FINAL_MASTER_PACK/run_step9_final_master_pack.ps1	requiredRel list includes GFAS/ERA5 decoder artifacts	final zip contains source-trace, decoder, warning, and claim-gate artifacts	Keep traceability files mandatory for closure package	Packaging without decoder evidence can hide route defects	step9 requiredRel list
