year	decision	data_evidence_found	runtime_direct_evidence	runtime_reconstructed	runtime_all_zero_homogeneous	recommended_action	data_summary	runtime_summary
2015	NO_DIRECT_DATA_EVIDENCE_RUNTIME_RECONSTRUCTED_ONLY	False	False	True	False	Treat as invalid for direct historical smoke. Recover/download direct data for this year.	{'year': '2015', 'data_files_with_year_in_path': 0, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 0, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': '', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2015', 'runtime_message_inventory_rows': 0, 'runtime_message_inventory_statuses': '', 'runtime_gfas_daily_summary_rows': 0, 'runtime_score_daily_rows': 0, 'runtime_score_daily_unit_count': 0, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 4, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 136.7923213591027, 'runtime_annual_methods': 'gfas_pm2p5fire_extrapolated_from_anchors,gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors'}
2016	NO_DIRECT_DATA_EVIDENCE_RUNTIME_RECONSTRUCTED_ONLY	False	False	True	False	Treat as invalid for direct historical smoke. Recover/download direct data for this year.	{'year': '2016', 'data_files_with_year_in_path': 0, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 0, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': '', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2016', 'runtime_message_inventory_rows': 0, 'runtime_message_inventory_statuses': '', 'runtime_gfas_daily_summary_rows': 0, 'runtime_score_daily_rows': 0, 'runtime_score_daily_unit_count': 0, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 4, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 119.11696601307753, 'runtime_annual_methods': 'gfas_pm2p5fire_extrapolated_from_anchors,gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors'}
2017	PASS_CONSUMED_AS_DIRECT_YEAR_EVIDENCE	True	True	False	False	Keep as direct smoke evidence, but still verify daily coverage completeness.	{'year': '2017', 'data_files_with_year_in_path': 1, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 1, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': 'ParquetFiles 2017.zip', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2017', 'runtime_message_inventory_rows': 1, 'runtime_message_inventory_statuses': 'PASS', 'runtime_gfas_daily_summary_rows': 1, 'runtime_score_daily_rows': 26, 'runtime_score_daily_unit_count': 26, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 4, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 101.44161066705237, 'runtime_annual_methods': 'gfas_pm2p5fire_gdal_message1_negative_lon_proxy,gfas_pm2p5fire_gdal_unit_direct_year', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_direct_year'}
2018	NO_DIRECT_DATA_EVIDENCE_RUNTIME_RECONSTRUCTED_ONLY	False	False	True	False	Treat as invalid for direct historical smoke. Recover/download direct data for this year.	{'year': '2018', 'data_files_with_year_in_path': 0, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 0, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': '', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2018', 'runtime_message_inventory_rows': 0, 'runtime_message_inventory_statuses': '', 'runtime_gfas_daily_summary_rows': 0, 'runtime_score_daily_rows': 0, 'runtime_score_daily_unit_count': 0, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 4, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 83.76625532102722, 'runtime_annual_methods': 'gfas_pm2p5fire_gdal_unit_interpolated_from_anchors,gfas_pm2p5fire_interpolated_from_anchors', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_interpolated_from_anchors'}
2019	NO_DIRECT_DATA_EVIDENCE_RUNTIME_RECONSTRUCTED_ONLY	False	False	True	False	Treat as invalid for direct historical smoke. Recover/download direct data for this year.	{'year': '2019', 'data_files_with_year_in_path': 0, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 0, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': '', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2019', 'runtime_message_inventory_rows': 0, 'runtime_message_inventory_statuses': '', 'runtime_gfas_daily_summary_rows': 0, 'runtime_score_daily_rows': 0, 'runtime_score_daily_unit_count': 0, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 4, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 66.09089997500206, 'runtime_annual_methods': 'gfas_pm2p5fire_gdal_unit_interpolated_from_anchors,gfas_pm2p5fire_interpolated_from_anchors', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_interpolated_from_anchors'}
2020	NO_DIRECT_DATA_EVIDENCE_RUNTIME_RECONSTRUCTED_ONLY	False	False	True	False	Treat as invalid for direct historical smoke. Recover/download direct data for this year.	{'year': '2020', 'data_files_with_year_in_path': 0, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 0, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': '', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2020', 'runtime_message_inventory_rows': 0, 'runtime_message_inventory_statuses': '', 'runtime_gfas_daily_summary_rows': 0, 'runtime_score_daily_rows': 0, 'runtime_score_daily_unit_count': 0, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 4, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 48.4155446289769, 'runtime_annual_methods': 'gfas_pm2p5fire_gdal_unit_interpolated_from_anchors,gfas_pm2p5fire_interpolated_from_anchors', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_interpolated_from_anchors'}
2021	NO_DIRECT_DATA_EVIDENCE_RUNTIME_RECONSTRUCTED_ONLY	False	False	True	False	Treat as invalid for direct historical smoke. Recover/download direct data for this year.	{'year': '2021', 'data_files_with_year_in_path': 0, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 0, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': '', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2021', 'runtime_message_inventory_rows': 0, 'runtime_message_inventory_statuses': '', 'runtime_gfas_daily_summary_rows': 0, 'runtime_score_daily_rows': 0, 'runtime_score_daily_unit_count': 0, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 4, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 30.740189282951746, 'runtime_annual_methods': 'gfas_pm2p5fire_gdal_unit_interpolated_from_anchors,gfas_pm2p5fire_interpolated_from_anchors', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_interpolated_from_anchors'}
2022	PASS_CONSUMED_AS_DIRECT_YEAR_EVIDENCE	True	True	False	False	Keep as direct smoke evidence, but still verify daily coverage completeness.	{'year': '2022', 'data_files_with_year_in_path': 1, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 1, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': 'ParquetFiles 2022.zip', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2022', 'runtime_message_inventory_rows': 1, 'runtime_message_inventory_statuses': 'PASS', 'runtime_gfas_daily_summary_rows': 1, 'runtime_score_daily_rows': 26, 'runtime_score_daily_unit_count': 26, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 2, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 13.06483393692659, 'runtime_annual_methods': 'gfas_pm2p5fire_gdal_message1_negative_lon_proxy,gfas_pm2p5fire_gdal_unit_direct_year', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_direct_year'}
2023	NO_DIRECT_DATA_EVIDENCE_RUNTIME_RECONSTRUCTED_ONLY__ALL_ZERO_HOMOGENEOUS_OUTPUT	False	False	True	True	Treat as invalid for direct historical smoke. Recover/download direct data for this year. Do not interpret zero as no smoke; it is missing/invalid evidence until proven otherwise.	{'year': '2023', 'data_files_with_year_in_path': 0, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 0, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': '', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2023', 'runtime_message_inventory_rows': 0, 'runtime_message_inventory_statuses': '', 'runtime_gfas_daily_summary_rows': 0, 'runtime_score_daily_rows': 0, 'runtime_score_daily_unit_count': 0, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 1, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 0.0, 'runtime_annual_methods': 'gfas_pm2p5fire_extrapolated_from_anchors,gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors'}
2024	NO_DIRECT_DATA_EVIDENCE_RUNTIME_RECONSTRUCTED_ONLY__ALL_ZERO_HOMOGENEOUS_OUTPUT	False	False	True	True	Treat as invalid for direct historical smoke. Recover/download direct data for this year. Do not interpret zero as no smoke; it is missing/invalid evidence until proven otherwise.	{'year': '2024', 'data_files_with_year_in_path': 0, 'data_gfas_or_grib_files_with_year_in_path': 0, 'data_era5_files_with_year_in_path': 0, 'data_aq_or_parquet_files_with_year_in_path': 0, 'zip_members_with_year': 0, 'deep_grib_metadata_hits': 0, 'deep_parquet_year_hits': 0, 'example_data_paths': '', 'example_archive_members': '', 'example_grib_metadata': '', 'example_parquet': ''}	{'year': '2024', 'runtime_message_inventory_rows': 0, 'runtime_message_inventory_statuses': '', 'runtime_gfas_daily_summary_rows': 0, 'runtime_score_daily_rows': 0, 'runtime_score_daily_unit_count': 0, 'runtime_annual_smoke_rows': 26, 'runtime_annual_smoke_unique_values': 1, 'runtime_annual_smoke_min': 0.0, 'runtime_annual_smoke_max': 0.0, 'runtime_annual_methods': 'gfas_pm2p5fire_extrapolated_from_anchors,gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors', 'runtime_route_methods': 'gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors'}
