"id"	"component"	"requirement"	"status"	"evidence"
"REQ-01"	"source"	"moduleC_pipeline_v2.py exists"	"PASS"	"D:\GATA_MODULEC_UNIFIED_PROCESS\GATA_ModuleC_pipeline_unified_20260529_110642\01_REPO_COPY\pipeline\moduleC_pipeline_v2.py"
"REQ-02"	"source"	"smoke_prepare found"	"PASS"	"function smoke_prepare"
"REQ-03"	"source"	"write_gfas_era5_decoder_audit found"	"PASS"	"function write_gfas_era5_decoder_audit"
"REQ-04"	"source"	"_fill_smoke_year_series_relaxed found"	"PASS"	"function _fill_smoke_year_series_relaxed"
"REQ-05"	"source"	"v0_gfas_era5_real route token found"	"PASS"	"count=8"
"REQ-06"	"source"	"required_decoder token found"	"PASS"	"count=1"
"REQ-07"	"source"	"extrapolated_from_anchors token found"	"PASS"	"count=4"
"REQ-08"	"source"	"missing_flag token found"	"PASS"	"count=19"
"REQ-09"	"runtime"	"Latest 10D8K bundle exists"	"PASS"	"D:\GATA_MODULEC_UNIFIED_PROCESS\_FORENSIC_AUDITS\10D8K_PATCH_SOURCE_CONTEXT_BUNDLE_20260531_225835\PATCH_SOURCE_CONTEXT_BUNDLE.txt"
"REQ-10"	"scope"	"No direct decoder call found, patch must not claim effective decoder unless evidence exists"	"PASS"	"decoder_call_tokens=0"
