"Riesgo","Estado","Evidencia","Mitigacion","Bloquea B4"
"patch moduleC_pipeline_v2.py","Audited","B3_4_patch_audit_moduleC_pipeline_v2.md","scope env bootstrap only","No"
"entorno QGIS/Processing","PASS","B3_4_environment_regate.csv","StrictRuntimeChecks + probes controlados","No"
"WindowsApps warning","WARNING_NON_BLOCKING","B3_4_environment_regate.csv","PATH control + custom config","No"
"smoke_days regeneraciÃ³n","Expected","B3_4_output_root_regate.csv","validar post-runtime missing_flag","No"
"deliverables_step9 histÃ³rico","Controlled","B3_4_script_reference_scan.csv","no usar como baseline","No"
"manifests histÃ³ricos","Controlled","B3_2_manifest_refresh_report.md","usar manifests frescos en CONTROL_ROOT","No"
"outputs restaurados B1","Monitored","B3_4_output_root_regate.csv","hash/conteo pre/post","No"
"datos masivos protegidos","PASS","08_do_not_touch_registry.csv","no-touch","No"
"Incendios_Nueva version protegida","PASS","08_do_not_touch_registry.csv","no-touch","No"
"wrapper saneado","PASS","B3_4_wrapper_static_validation.csv","gate estÃ¡tico","No"
"inputs_resolved canÃ³nico","PASS","B3_4_inputs_resolved_regate.csv","gate de rutas","No"
"run_log/QA_checks histÃ³ricos","Expected","B3_4_output_root_regate.csv","clasificar regenerables","No"
"trazabilidad B3.2/B3.3","PASS","B3_4_* + B3_3_*","hashes + planes + reportes","No"
