"artifact"	"line"	"text"
"inputs_resolved"	"29"	"""smoke_route_mode"": ""v0_gfas_era5_real"","
"inputs_resolved"	"30"	"""smoke_route_selected"": ""v0_gfas_era5_real"","
"inputs_resolved"	"31"	"""smoke_route_status"": ""SCIENTIFIC_PRIMARY_REAL"","
"inputs_resolved"	"32"	"""smoke_route_decision"": ""THRESHOLD_DEFINED_AS_INDEXED_METHOD"","
"inputs_resolved"	"38"	"""required_decoder"": """","
"inputs_resolved"	"40"	"""smoke_route_reason"": ""GFAS + ERA5 detected and decoder is available."","
"inputs_resolved"	"41"	"""smoke_route_operational_fallback"": """","
"inputs_resolved"	"42"	"""smoke_route_allowed_use"": ""scientific_route"","
"inputs_resolved"	"43"	"""smoke_route_forbidden_use"": """","
"inputs_resolved"	"44"	"""smoke_route_detected_sources"": {"
"inputs_resolved"	"59"	"""smoke_route_status"": ""HOLD_DIRECT_YEAR_DECODER_EVIDENCE_MISSING"","
"inputs_resolved"	"60"	"""smoke_route_decision"": ""BLOCKED_DIRECT_YEAR_DECODER_EVIDENCE_MISSING"","
"inputs_resolved"	"61"	"""smoke_route_reason"": ""v0_gfas_era5_real was selected, but 2023/2024 smoke outputs are all-zero and audit/output flags indicate extrapolated or missing direct-year coverage."","
"inputs_resolved"	"62"	"""required_decoder"": ""GFAS_ERA5_DIRECT_YEAR_DECODER_PROOF_REQUIRED"","
"inputs_resolved"	"63"	"""smoke_route_contract_correction"": ""CODEX_10D8M"","
"inputs_resolved"	"64"	"""smoke_route_contract_correction_status"": ""APPLIED_ROUTE_METADATA_DEGRADATION"","
"inputs_resolved"	"65"	"""smoke_route_contract_correction_basis"": ""direct output all-zero 2023/2024 plus extrapolated/missing branch evidence"""
"smoke_route_audit"	"1"	"year	unique_values	method	spatial_homogeneous_flag	route_selected	smoke_route_status	smoke_route_decision	health_exposure_claim	iech_decision	causal_matrix_decision	brief_decision	final_scientific_decision"
"smoke_route_audit"	"2"	"2015	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"3"	"2016	4	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"4"	"2017	4	gfas_pm2p5fire_gdal_unit_direct_year	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"5"	"2018	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"6"	"2019	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"7"	"2020	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"8"	"2021	4	gfas_pm2p5fire_gdal_unit_interpolated_from_anchors	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"9"	"2022	2	gfas_pm2p5fire_gdal_unit_direct_year	0	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"10"	"2023	1	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	1	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
"smoke_route_audit"	"11"	"2024	1	gfas_pm2p5fire_gdal_unit_extrapolated_from_anchors	1	v0_gfas_era5_real	SCIENTIFIC_PRIMARY_REAL	THRESHOLD_DEFINED_AS_INDEXED_METHOD	BLOCKED_HEALTH_EXPOSURE_CLAIM	IECH_ROUTE_REAL_SMOKE	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_VALIDATION	PENDING_DOWNSTREAM_GATES"
