"line"	"pattern"	"text"
"340"	"missing_flag"	"def has_missing_flag(rows: List[Dict[str, str]]) -> bool:"
"343"	"missing_flag"	"if ""missing_flag"" in k.lower():"
"923"	"direct_year"	"methods[y] = ""primary_parquet_direct_year"" if y == y0 else ""primary_parquet_flat_single_anchor"""
"929"	"direct_year"	"methods[y] = ""primary_parquet_direct_year"""
"934"	"extrapolated_from_anchors"	"method = ""primary_parquet_extrapolated_from_anchors"""
"937"	"extrapolated_from_anchors"	"method = ""primary_parquet_extrapolated_from_anchors"""
"945"	"interpolated_from_anchors"	"method = ""primary_parquet_interpolated_from_anchors"""
"973"	"direct_year"	"methods[y] = f""{method_prefix}_direct_year"" if y == y0 else f""{method_prefix}_flat_single_anchor"""
"979"	"direct_year"	"methods[y] = f""{method_prefix}_direct_year"""
"983"	"extrapolated_from_anchors"	"method = f""{method_prefix}_extrapolated_from_anchors"""
"986"	"extrapolated_from_anchors"	"method = f""{method_prefix}_extrapolated_from_anchors"""
"994"	"interpolated_from_anchors"	"method = f""{method_prefix}_interpolated_from_anchors"""
"1112"	"route_decision"	"route_decision: Dict[str, object],"
"1138"	"route_selected"	"str(route_decision.get(""route_selected"", """")),"
"1138"	"route_decision"	"str(route_decision.get(""route_selected"", """")),"
"1139"	"route_status"	"str(route_decision.get(""smoke_route_status"", """")),"
"1139"	"route_decision"	"str(route_decision.get(""smoke_route_status"", """")),"
"1140"	"route_decision"	"str(route_decision.get(""smoke_route_decision"", """")),"
"1141"	"route_decision"	"str(route_decision.get(""health_exposure_claim"", """")),"
"1142"	"route_decision"	"str(route_decision.get(""iech_decision"", """")),"
"1143"	"route_decision"	"str(route_decision.get(""causal_matrix_decision"", """")),"
"1144"	"route_decision"	"str(route_decision.get(""brief_decision"", """")),"
"1145"	"route_decision"	"str(route_decision.get(""final_scientific_decision"", """")),"
"1155"	"route_selected"	"""route_selected"","
"1156"	"route_status"	"""smoke_route_status"","
"1157"	"route_decision"	"""smoke_route_decision"","
"1369"	"route_decision"	"route_decision: Dict[str, object],"
"1381"	"route_selected"	"[""TRACE-007"", ""PASS"", str(route_decision.get(""route_selected"", """")), ""selector route_selected""],"
"1381"	"route_decision"	"[""TRACE-007"", ""PASS"", str(route_decision.get(""route_selected"", """")), ""selector route_selected""],"
